id,x,y,longitude,latitude,depth,strat,depth_bin
ros_0001,808.031752148539,-1609.9183402274598,-168.14178879412316,-14.544870533590586,4.893040634884859,1,SHAL
ros_0002,806.1405521485408,-1608.7033402274615,-168.15946203824316,-14.534112062964693,12.661048841806402,2,MID
ros_0003,806.96795214854,-1608.0553402274622,-168.1518667096076,-14.528167226168252,13.094437487702683,2,MID
ros_0004,808.3863521485387,-1610.4853402274593,-168.13843540333033,-14.549950507194263,11.39570881617751,2,MID
ros_0005,806.7315521485402,-1611.376340227458,-168.1536738002228,-14.558183706546101,15.799288736077125,2,MID
ros_0006,806.0223521485409,-1608.7843402274611,-168.16054845509126,-14.534856816108379,13.663811387749323,2,MID
ros_0007,807.2043521485398,-1611.1333402274586,-168.1493185009088,-14.555935938582259,15.490805675514963,2,MID
ros_0008,807.6771521485393,-1609.4323402274604,-168.1451326167002,-14.540521936264279,8.356165403046983,2,MID
ros_0009,806.8497521485401,-1608.217340227462,-168.1529437005209,-14.529643465005678,7.942890041013311,2,MID
ros_0010,806.1405521485408,-1611.619340227458,-168.15912509129078,-14.560444727759183,16.314997355646543,2,MID
ros_0011,807.0861521485399,-1608.2983402274617,-168.1507428567148,-14.53034827799472,7.20825004577637,2,MID
ros_0012,805.4313521485415,-1608.946340227461,-168.16600864907534,-14.536386121922371,17.42841180173549,2,MID
ros_0013,806.96795214854,-1611.2143402274583,-168.15150083400334,-14.556694102093363,11.427755426637841,2,MID
ros_0014,808.3863521485387,-1610.566340227459,-168.138425972954,-14.550681956572895,16.589390154882516,2,MID
ros_0015,806.3769521485406,-1611.619340227458,-168.15693330800923,-14.5604180849201,17.609000962557406,2,MID
ros_0016,807.5589521485394,-1609.027340227461,-168.14627538228206,-14.536878022074173,13.710738412418918,2,MID
ros_0017,806.2587521485407,-1608.7033402274615,-168.15836627559986,-14.534098769219195,6.10577149758224,2,MID
ros_0018,808.5045521485386,-1610.2423402274594,-168.13736788152218,-14.547742754544618,14.915438462930126,2,MID
ros_0019,807.5589521485394,-1609.1083402274608,-168.14626598654147,-14.537609477292213,17.76101972339091,2,MID
ros_0020,805.6677521485412,-1611.1333402274586,-168.1635647895691,-14.556109162430003,16.46350798378595,2,MID
ros_0021,805.6677521485412,-1608.8653402274613,-168.16382642716368,-14.535628119982139,17.047144717043725,2,MID
ros_0022,808.2681521485388,-1610.6473402274592,-168.13951237094875,-14.551426808500445,16.472485649285694,2,MID
ros_0023,808.031752148539,-1609.75634022746,-168.14180762434984,-14.54340762974339,14.852517593888004,2,MID
ros_0024,807.4407521485396,-1610.9713402274588,-168.14714559088497,-14.554446302661967,9.852555758207453,2,MID
ros_0025,804.7221521485421,-1609.5943402274602,-168.17250886701854,-14.542317380179048,17.70707565916014,2,MID
ros_0026,807.0861521485399,-1608.136340227462,-168.15076160843495,-14.528885360876462,10.002058030097333,2,MID
ros_0027,807.0861521485399,-1611.1333402274586,-168.1504143625844,-14.55594929420842,10.212880039792287,2,MID
ros_0028,805.0767521485418,-1610.2423402274594,-168.1691468183038,-14.54812939934874,17.67434433169707,2,MID
ros_0029,808.5045521485386,-1610.4043402274592,-168.13734901620154,-14.549205652154471,17.65153752775737,2,MID
ros_0030,807.4407521485396,-1609.027340227461,-168.14737114705258,-14.536891374843147,10.56790932702135,2,MID
ros_0031,807.9135521485391,-1609.5943402274602,-168.14292223795132,-14.54195810381771,15.717204408789614,2,MID
ros_0032,807.2043521485398,-1608.3793402274619,-168.14963774071134,-14.53106640464106,6.455536776789177,2,MID
ros_0033,806.6133521485403,-1611.4573402274582,-168.15476029502375,-14.558928503112268,16.74256631592571,2,MID
ros_0034,806.8497521485401,-1608.136340227462,-168.15295306893185,-14.528912005022333,9.401465141040967,2,MID
ros_0035,807.4407521485396,-1608.8653402274613,-168.14738992976964,-14.535428462851511,10.843451006598073,2,MID
ros_0036,806.2587521485407,-1611.619340227458,-168.15802919909376,-14.560431408900051,11.625723852530479,2,MID
ros_0037,807.4407521485396,-1608.7843402274611,-168.1473993203419,-14.534697006778417,16.172366466516205,2,MID
ros_0038,806.96795214854,-1611.2953402274584,-168.15149144210767,-14.557425559419615,17.642623143660238,2,MID
ros_0039,806.8497521485401,-1611.2953402274584,-168.15258731321606,-14.557438906206194,13.046526816773659,2,MID
ros_0040,807.3225521485397,-1608.5413402274617,-168.14852323322978,-14.532515981705766,8.81626887416677,2,MID
ros_0041,807.2043521485398,-1608.217340227462,-168.1496565006664,-14.52960348902507,9.154980524984762,2,MID
ros_0042,807.6771521485393,-1609.2703402274606,-168.14515141904522,-14.539059027590469,14.481164433479771,2,MID
ros_0043,808.2681521485388,-1609.99934022746,-168.13958777465083,-14.545575206819946,16.28364479010495,2,MID
ros_0044,805.6677521485412,-1608.946340227461,-168.16381709000055,-14.536359586478769,17.002862431106525,2,MID
ros_0045,808.031752148539,-1610.809340227459,-168.1416851903176,-14.55291650106223,14.697519003474335,2,MID
ros_0046,807.3225521485397,-1608.4603402274615,-168.14853261811106,-14.531784524726428,15.86839111843481,2,MID
ros_0047,808.2681521485388,-1610.566340227459,-168.13952179825156,-14.550695358470966,11.060283286801166,2,MID
ros_0048,808.1499521485389,-1609.9183402274598,-168.14069299537604,-14.544857147541563,11.31014108019255,2,MID
ros_0049,807.7953521485392,-1610.8903402274586,-168.1438674558647,-14.55367472593059,13.883368329630875,2,MID
ros_0050,807.6771521485393,-1609.3513402274607,-168.145142018135,-14.539790481953139,13.277436611306571,2,MID
ros_0051,807.0861521485399,-1611.2143402274583,-168.15040496761125,-14.556680750886706,16.005608029583904,2,MID
ros_0052,808.031752148539,-1609.8373402274601,-168.14179820949911,-14.544139081692773,7.441286335374533,2,MID
ros_0053,807.5589521485394,-1609.189340227461,-168.14625659027647,-14.538340932458734,12.84265381709401,2,MID
ros_0054,808.3863521485387,-1610.2423402274594,-168.13846369130385,-14.54775615874876,11.997754803638818,2,MID
ros_0055,808.1499521485389,-1609.99934022746,-168.14068357587686,-14.545588598685926,7.578369626365837,2,MID
ros_0056,808.6227521485384,-1610.3233402274595,-168.1362626368649,-14.548460793352422,24.665499561871577,3,DEEP
ros_0057,807.6771521485393,-1609.189340227461,-168.1451608194308,-14.53832757317625,21.209798331658522,3,DEEP
ros_0058,805.3131521485416,-1610.4853402274593,-168.16692713021592,-14.550297275302995,26.634897932267627,3,DEEP
ros_0059,804.9585521485419,-1610.0803402274596,-168.17026130768684,-14.546679715439296,21.594245985590458,3,DEEP
ros_0060,806.7315521485402,-1608.0553402274622,-168.1540581651457,-14.528193858697872,20.213883218180467,3,DEEP
ros_0061,807.3225521485397,-1608.136340227462,-168.148570152397,-14.528858696294089,27.691121607338598,3,DEEP
ros_0062,808.1499521485389,-1609.8373402274601,-168.14070241434976,-14.544125696345626,21.916990181260076,3,DEEP
ros_0063,807.3225521485397,-1608.2983402274617,-168.14855138630185,-14.530321610613253,18.75179676034024,3,DEEP
ros_0064,808.3863521485387,-1609.99934022746,-168.13849197454417,-14.545561809838912,25.836385075124348,3,DEEP
ros_0065,806.0223521485409,-1611.5383402274579,-168.16023034977255,-14.559726578790746,21.06189616859019,3,DEEP
ros_0066,805.4313521485415,-1610.809340227459,-168.1657939159783,-14.553209869159588,23.8997745513916,3,DEEP
ros_0067,805.4313521485415,-1608.8653402274613,-168.16601797904707,-14.535654654033625,27.665374770945338,3,DEEP
ros_0068,805.904152148541,-1608.7843402274611,-168.16164422355226,-14.534870100328458,20.112518468049664,3,DEEP
ros_0069,805.3131521485416,-1608.946340227461,-168.1671044302763,-14.53639938197598,21.07910092086436,3,DEEP
ros_0070,805.0767521485418,-1610.1613402274597,-168.16915614581185,-14.547397930197043,25.362374588849626,3,DEEP
ros_0071,806.6133521485403,-1608.217340227462,-168.15513517266075,-14.529670090112246,18.822306844009983,3,DEEP
ros_0072,807.4407521485396,-1608.5413402274617,-168.14742748891382,-14.532502638250042,20.147711898799706,3,DEEP
ros_0073,804.9585521485419,-1610.1613402274597,-168.17025198429783,-14.54741118533739,25.795992036314416,3,DEEP
ros_0074,806.4951521485405,-1611.619340227458,-168.1558374180376,-14.560404755819349,22.936826746337836,3,DEEP
ros_0075,805.5495521485414,-1608.8653402274613,-168.16492220255068,-14.535641389563807,22.201668936927216,3,DEEP
ros_0076,808.6227521485384,-1610.4043402274592,-168.13625320034268,-14.549192241428575,19.702931197846578,3,DEEP
ros_0077,807.3225521485397,-1608.217340227462,-168.14856076961135,-14.529590153479425,22.982691994885236,3,DEEP
ros_0078,805.5495521485414,-1608.946340227461,-168.16491286898324,-14.53637285675663,22.198640638064727,3,DEEP
ros_0079,806.0223521485409,-1608.7033402274615,-168.1605578019979,-14.534125351599,24.4721180137731,3,DEEP
ros_0080,807.3225521485397,-1611.1333402274586,-168.14822264034902,-14.555922577837062,21.87228006951588,3,DEEP
ros_0081,807.3225521485397,-1608.3793402274619,-168.1485420024684,-14.531053067695597,19.26106437686883,3,DEEP
ros_0082,807.4407521485396,-1608.4603402274615,-168.14743687738954,-14.531771181970889,22.422790181500122,3,DEEP
ros_0083,804.7221521485421,-1609.1083402274608,-168.17256473454742,-14.537928549524135,21.73628946372923,3,DEEP
ros_0084,807.9135521485391,-1610.8903402274586,-168.14277161169207,-14.553661341694841,22.383857147978276,3,DEEP
