id,x,y,longitude,latitude,depth,strat,depth_bin
swa_0001,492.73697200140316,-1221.496974622199,-171.06649574681805,-11.049893289892267,16.64852097622513,1,MID
swa_0002,491.1847720014041,-1221.0939746222002,-171.0807057154127,-11.046245114256836,13.66847812527673,1,MID
swa_0003,492.61757200140323,-1221.3357746221996,-171.06758856443952,-11.048435159646662,15,1,MID
swa_0004,493.09517200140294,-1221.899974622198,-171.06321707320103,-11.053538712607338,14.007721969711701,1,MID
swa_0005,491.304172001404,-1223.5119746221935,-171.07961847780604,-11.06811370727309,13.681161146059432,1,MID
swa_0006,492.975772001403,-1221.899974622198,-171.06431023805084,-11.05353848220041,13.981280338526227,1,MID
swa_0007,492.975772001403,-1221.9805746221978,-171.0643103968582,-11.054267426055977,11.491003099057249,1,MID
swa_0008,490.46837200140453,-1221.1745746222,-171.0872647548351,-11.046972238403004,17.504115889394168,1,MID
swa_0009,491.1847720014041,-1223.5119746221935,-171.0807116962709,-11.06811341722349,11.179304864838082,1,MID
swa_0010,490.7071720014044,-1221.1745746222,-171.08507847487556,-11.046972860791874,17.006003144670494,1,MID
swa_0011,492.8563720014031,-1221.6581746221987,-171.0654029184237,-11.051351416113848,17.33162583847569,1,MID
swa_0012,492.975772001403,-1222.0611746221975,-171.06431055567668,-11.054996369876488,9.663341618807296,1,MID
swa_0013,491.78177200140374,-1220.9327746222007,-171.07523965653064,-11.044788633919135,14.500332503074308,1,MID
swa_0014,490.46837200140453,-1221.2551746221998,-171.08726497019498,-11.047701182185554,10.634088974426136,1,MID
swa_0015,490.94597200140424,-1221.1745746222,-171.0828921947868,-11.046973467390014,14.669601251734838,1,MID
swa_0016,490.2295720014047,-1222.7865746221955,-171.08945545271004,-11.061550468351342,17.054276755917005,1,MID
swa_0017,490.8265720014043,-1221.1745746222,-171.0839853348471,-11.046973166064785,16.2490811190231,1,MID
swa_0018,490.11017200140475,-1221.4163746221993,-171.09054484493126,-11.049158106259329,17.07638507656302,1,MID
swa_0019,492.3787720014034,-1221.0133746222004,-171.06977416737135,-11.04551888708985,18,1,MID
swa_0020,491.6623720014038,-1221.0133746222004,-171.07633297705328,-11.045517304370502,17.99944874513649,1,MID
swa_0021,491.6623720014038,-1220.9327746222007,-171.07633278871046,-11.04478836028319,17.99854292870318,1,MID
swa_0022,492.975772001403,-1222.1417746221973,-171.06431071450632,-11.055725313661927,8.032146569936536,1,MID
swa_0023,491.5429720014039,-1223.4313746221937,-171.07743184933076,-11.067385332524559,25.875199586859026,2,DEEP
swa_0024,491.90117200140367,-1223.350774622194,-171.07415201835704,-11.066657212080713,20.07090696003339,2,DEEP
swa_0025,490.2295720014047,-1221.3357746221996,-171.08945147618834,-11.04842948766721,18.803455047112216,2,DEEP
swa_0026,492.4981720014033,-1221.0939746222002,-171.06868120180368,-11.046248081237524,24,2,DEEP
swa_0027,492.25937200140345,-1221.0133746222004,-171.07086730238697,-11.045518633171177,20.334910541243712,2,DEEP
swa_0028,492.975772001403,-1222.3835746221966,-171.06431119106193,-11.057912144807872,23.954729165175728,2,DEEP
swa_0029,492.4981720014033,-1221.1745746222,-171.06868137129,-11.04697702537865,22.753863912861533,2,DEEP
swa_0030,490.7071720014044,-1223.2701746221942,-171.08508393873404,-11.065925388837707,25.322572695161984,2,DEEP
swa_0031,492.1399720014035,-1220.9327746222007,-171.0719602598216,-11.044789431145649,22.663300860047524,2,DEEP
swa_0032,490.94597200140424,-1223.350774622194,-171.08289772318156,-11.066654939455674,22.98336336788782,2,DEEP
swa_0033,492.975772001403,-1221.7387746221984,-171.06430992046947,-11.05208059438411,23.98127453822107,2,DEEP
swa_0034,492.8563720014031,-1221.496974622199,-171.06540259551187,-11.049893528118893,20.247771158271078,2,DEEP
swa_0035,490.11017200140475,-1222.625374622196,-171.0905481990777,-11.060092256763042,20.970722435603868,2,DEEP
swa_0036,492.73697200140316,-1221.4163746221993,-171.0664955826808,-11.049164345858314,21.990380653793956,2,DEEP
swa_0037,490.94597200140424,-1223.4313746221937,-171.0828979281377,-11.067383882374399,20,2,DEEP
swa_0038,493.09517200140294,-1222.1417746221973,-171.06321754155758,-11.055725544115548,19.939919944900378,2,DEEP
swa_0039,490.2295720014047,-1222.625374622196,-171.08945501062664,-11.060092582169768,21.075792779276906,2,DEEP
swa_0040,491.5429720014039,-1221.0133746222004,-171.07742611190127,-11.045517026768911,25.999411473803374,2,DEEP
swa_0041,492.8563720014031,-1221.5775746221989,-171.06540275696213,-11.050622472133893,21,2,DEEP
swa_0042,492.975772001403,-1221.6581746221987,-171.0643097616955,-11.051351650423376,29.96710351221431,2,DEEP
swa_0043,491.06537200140417,-1223.4313746221937,-171.08180471243764,-11.067384180314743,20.932323293741288,2,DEEP
swa_0044,492.975772001403,-1222.222374622197,-171.06431087334704,-11.05645425741231,22.057456170649154,2,DEEP
swa_0045,490.58777200140446,-1221.1745746222,-171.0861716148717,-11.04697255157128,19.245328369602795,2,DEEP
swa_0046,490.46837200140453,-1222.947774622195,-171.08726949624028,-11.063008993521132,25.04428957812277,2,DEEP
swa_0047,490.46837200140453,-1223.0283746221949,-171.08726971193235,-11.063737936532254,19.052644286552617,2,DEEP
swa_0048,490.3489720014046,-1221.2551746221998,-171.08835811282304,-11.047700865048165,18.013007319992997,2,DEEP
swa_0049,491.78177200140374,-1223.350774622194,-171.07524523156303,-11.066656941844698,21.61452680826827,2,DEEP
swa_0050,490.58777200140446,-1223.1089746221946,-171.0861767228781,-11.064467193184576,19.492401607189617,2,DEEP
